"id_tests","description","id_tests_methods","id_methods","id_compute_node_data","start_date_test_methods","finish_date_test_methods","compute_node_data_date","compute_node_data_cpu_percent","compute_node_data_memory_percent"
"15","1VM-1VNF","58","2","98","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:32","1.6","17.02"
"15","1VM-1VNF","58","2","97","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:32","1.6","17.02"
"15","1VM-1VNF","58","2","96","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:32","2.1","17.02"
"15","1VM-1VNF","58","2","95","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:31","2.2","17.02"
"15","1VM-1VNF","58","2","94","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:31","2.5","17.02"
"15","1VM-1VNF","58","2","93","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:31","2.4","17.02"
"15","1VM-1VNF","58","2","92","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:30","2.5","17.02"
"15","1VM-1VNF","58","2","91","2022-07-28 10:20:30","2022-07-28 10:20:32","2022-07-28 10:20:30","2.1","17.02"
"15","1VM-1VNF","59","3","119","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:39","5","17.02"
"15","1VM-1VNF","59","3","118","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:39","4.7","17.02"
"15","1VM-1VNF","59","3","117","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:39","4.5","17.02"
"15","1VM-1VNF","59","3","116","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:38","1.5","17.02"
"15","1VM-1VNF","59","3","115","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:38","1.6","17.02"
"15","1VM-1VNF","59","3","114","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:38","1.5","17.02"
"15","1VM-1VNF","59","3","113","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:37","2.7","17.02"
"15","1VM-1VNF","59","3","112","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:37","3.3","17.02"
"15","1VM-1VNF","59","3","111","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:37","4.4","17.02"
"15","1VM-1VNF","59","3","110","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:36","3.8","17.02"
"15","1VM-1VNF","59","3","109","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:36","3.2","17.03"
"15","1VM-1VNF","59","3","108","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:36","2.5","17.06"
"15","1VM-1VNF","59","3","107","2022-07-28 10:20:32","2022-07-28 10:20:39","2022-07-28 10:20:35","3","17.02"
