"id_tests","description","id_tests_methods","id_methods","id_compute_node_data","start_date_test_methods","finish_date_test_methods","compute_node_data_date","compute_node_data_cpu_percent","compute_node_data_memory_percent"
"1","1VM-1VNF","2","2","5","2022-07-28 16:56:13","2022-07-28 16:56:15","2022-07-28 16:56:15","5.4","19.71"
"1","1VM-1VNF","2","2","4","2022-07-28 16:56:13","2022-07-28 16:56:15","2022-07-28 16:56:15","5.2","19.67"
"1","1VM-1VNF","2","2","3","2022-07-28 16:56:13","2022-07-28 16:56:15","2022-07-28 16:56:14","5.1","19.67"
"1","1VM-1VNF","2","2","2","2022-07-28 16:56:13","2022-07-28 16:56:15","2022-07-28 16:56:14","4.6","19.67"
"1","1VM-1VNF","2","2","1","2022-07-28 16:56:13","2022-07-28 16:56:15","2022-07-28 16:56:13","4.3","19.67"
"1","1VM-1VNF","3","3","19","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:22","6.8","19.67"
"1","1VM-1VNF","3","3","18","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:22","6.3","19.67"
"1","1VM-1VNF","3","3","17","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:21","6.2","19.67"
"1","1VM-1VNF","3","3","16","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:21","6.7","19.67"
"1","1VM-1VNF","3","3","15","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:20","6.8","19.67"
"1","1VM-1VNF","3","3","14","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:20","5.8","19.67"
"1","1VM-1VNF","3","3","13","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:19","4.6","19.67"
"1","1VM-1VNF","3","3","12","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:19","4.3","19.67"
"1","1VM-1VNF","3","3","11","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:18","5","19.67"
"1","1VM-1VNF","3","3","10","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:18","6.8","19.67"
"1","1VM-1VNF","3","3","9","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:17","5.8","19.67"
"1","1VM-1VNF","3","3","8","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:17","4.1","19.67"
"1","1VM-1VNF","3","3","7","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:16","5.9","19.67"
"1","1VM-1VNF","3","3","6","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:16","7","19.67"
"1","1VM-1VNF","3","3","5","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:15","5.4","19.71"
"1","1VM-1VNF","3","3","4","2022-07-28 16:56:15","2022-07-28 16:56:22","2022-07-28 16:56:15","5.2","19.67"
"1","1VM-1VNF","4","4","81","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:53","7.1","20.59"
"1","1VM-1VNF","4","4","80","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:53","7.1","20.59"
"1","1VM-1VNF","4","4","79","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:52","7.2","20.58"
"1","1VM-1VNF","4","4","78","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:52","8.8","20.56"
"1","1VM-1VNF","4","4","77","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:51","7.4","20.54"
"1","1VM-1VNF","4","4","76","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:51","6.2","20.54"
"1","1VM-1VNF","4","4","75","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:50","8.7","20.54"
"1","1VM-1VNF","4","4","74","2022-07-28 16:56:22","2022-07-28 16:56:53","2022-07-28 16:56:50","9.2","20.54"
