vnf0;vnf1;vnf2;vnf3;vnf4;vnf5
0.427;0.637;0.616;0.768;0.847;0.964
0.470;0.647;0.692;0.922;0.937;1.05
0.522;0.669;0.700;0.922;0.948;1.13
0.532;0.686;0.753;0.928;0.960;1.20
0.538;0.698;0.761;0.930;1.00;1.21
0.550;0.700;0.794;0.932;1.01;1.22
0.554;0.705;0.822;0.956;1.02;1.22
0.569;0.737;0.825;0.960;1.04;1.26
0.570;0.738;0.859;0.963;1.04;1.27
0.574;0.744;0.859;0.970;1.05;1.30
0.577;0.747;0.881;0.973;1.05;1.31
0.586;0.752;0.882;0.985;1.06;1.32
0.587;0.758;0.896;0.987;1.06;1.33
0.588;0.759;0.909;0.988;1.07;1.33
0.591;0.768;0.914;0.994;1.08;1.33
0.601;0.768;0.928;0.999;1.08;1.34
0.602;0.770;0.930;0.999;1.08;1.34
0.603;0.773;0.935;1.00;1.09;1.34
0.603;0.779;0.940;1.00;1.09;1.35
0.603;0.779;0.942;1.00;1.09;1.35
0.604;0.779;0.960;1.01;1.09;1.35
0.604;0.780;0.963;1.01;1.09;1.36
0.605;0.783;0.972;1.01;1.09;1.36
0.606;0.787;0.972;1.01;1.09;1.36
0.609;0.787;0.973;1.01;1.10;1.36
0.611;0.791;0.974;1.01;1.10;1.36
0.611;0.794;0.975;1.02;1.10;1.37
0.619;0.795;0.976;1.02;1.10;1.37
0.624;0.795;0.979;1.02;1.10;1.37
0.625;0.797;0.982;1.02;1.10;1.37
0.625;0.799;0.984;1.02;1.10;1.37
0.626;0.799;0.987;1.03;1.10;1.38
0.626;0.799;0.988;1.03;1.11;1.38
0.627;0.801;0.988;1.03;1.11;1.38
0.628;0.803;0.989;1.04;1.11;1.39
0.629;0.806;0.994;1.04;1.11;1.39
0.631;0.809;0.996;1.04;1.11;1.39
0.634;0.809;0.999;1.04;1.12;1.39
0.636;0.812;1.01;1.04;1.12;1.39
0.636;0.815;1.01;1.04;1.12;1.39
0.637;0.817;1.01;1.04;1.12;1.39
0.638;0.817;1.01;1.05;1.12;1.39
0.639;0.817;1.01;1.05;1.12;1.40
0.640;0.817;1.01;1.05;1.12;1.40
0.641;0.818;1.01;1.05;1.13;1.40
0.642;0.818;1.01;1.05;1.13;1.41
0.642;0.820;1.02;1.05;1.13;1.41
0.645;0.821;1.02;1.05;1.13;1.41
0.646;0.821;1.02;1.05;1.14;1.41
0.646;0.826;1.02;1.06;1.14;1.41
0.648;0.827;1.02;1.06;1.14;1.41
0.648;0.828;1.02;1.06;1.14;1.42
0.650;0.828;1.02;1.06;1.14;1.42
0.650;0.828;1.02;1.06;1.14;1.42
0.653;0.830;1.03;1.06;1.15;1.42
0.653;0.831;1.03;1.06;1.15;1.42
0.653;0.831;1.03;1.06;1.15;1.42
0.654;0.832;1.03;1.06;1.15;1.42
0.655;0.833;1.03;1.07;1.15;1.42
0.655;0.834;1.03;1.07;1.15;1.42
0.656;0.836;1.04;1.07;1.15;1.42
0.657;0.838;1.04;1.07;1.15;1.42
0.658;0.840;1.04;1.07;1.15;1.43
0.658;0.841;1.04;1.07;1.16;1.43
0.658;0.841;1.04;1.07;1.16;1.43
0.659;0.841;1.04;1.07;1.16;1.43
0.659;0.843;1.04;1.07;1.16;1.43
0.660;0.845;1.04;1.07;1.16;1.43
0.661;0.847;1.05;1.08;1.16;1.43
0.662;0.848;1.05;1.08;1.16;1.44
0.665;0.850;1.05;1.08;1.16;1.44
0.666;0.851;1.05;1.08;1.16;1.44
0.667;0.852;1.05;1.08;1.17;1.44
0.667;0.855;1.05;1.08;1.17;1.44
0.669;0.856;1.05;1.08;1.17;1.44
0.669;0.856;1.05;1.08;1.17;1.44
0.670;0.856;1.05;1.08;1.17;1.44
0.671;0.856;1.05;1.08;1.17;1.44
0.671;0.856;1.05;1.08;1.17;1.44
0.673;0.858;1.05;1.08;1.17;1.44
0.675;0.859;1.05;1.08;1.17;1.44
0.676;0.861;1.05;1.09;1.17;1.44
0.678;0.861;1.05;1.09;1.17;1.44
0.679;0.862;1.05;1.09;1.17;1.45
0.679;0.865;1.05;1.09;1.18;1.45
0.680;0.866;1.05;1.09;1.18;1.45
0.681;0.867;1.05;1.09;1.18;1.46
0.681;0.868;1.06;1.09;1.18;1.46
0.682;0.868;1.06;1.09;1.18;1.46
0.682;0.870;1.06;1.09;1.18;1.46
0.685;0.872;1.06;1.09;1.18;1.46
0.685;0.872;1.06;1.09;1.18;1.46
0.685;0.873;1.06;1.09;1.18;1.46
0.685;0.873;1.06;1.10;1.18;1.46
0.686;0.873;1.06;1.10;1.18;1.46
0.686;0.873;1.06;1.10;1.18;1.46
0.686;0.874;1.06;1.10;1.18;1.47
0.687;0.876;1.06;1.10;1.18;1.47
0.687;0.876;1.06;1.10;1.18;1.47
0.687;0.877;1.07;1.10;1.18;1.47
0.688;0.877;1.07;1.10;1.18;1.47
0.688;0.878;1.07;1.10;1.18;1.47
0.688;0.878;1.07;1.11;1.19;1.47
0.689;0.879;1.07;1.11;1.19;1.47
0.689;0.881;1.07;1.11;1.19;1.47
0.690;0.882;1.07;1.11;1.19;1.47
0.690;0.882;1.07;1.11;1.19;1.47
0.691;0.883;1.07;1.11;1.19;1.47
0.691;0.883;1.07;1.11;1.19;1.48
0.691;0.885;1.07;1.11;1.19;1.48
0.692;0.885;1.07;1.11;1.19;1.48
0.692;0.886;1.07;1.11;1.19;1.48
0.693;0.886;1.07;1.11;1.19;1.48
0.693;0.887;1.07;1.11;1.20;1.48
0.694;0.887;1.07;1.11;1.20;1.48
0.694;0.888;1.08;1.11;1.20;1.48
0.695;0.889;1.08;1.11;1.20;1.48
0.695;0.889;1.08;1.11;1.20;1.49
0.696;0.889;1.08;1.11;1.20;1.49
0.697;0.889;1.08;1.12;1.20;1.49
0.701;0.890;1.08;1.12;1.20;1.49
0.701;0.890;1.08;1.12;1.20;1.49
0.701;0.890;1.08;1.12;1.20;1.49
0.702;0.892;1.08;1.12;1.20;1.49
0.703;0.893;1.08;1.12;1.20;1.50
0.703;0.893;1.08;1.12;1.20;1.50
0.704;0.893;1.08;1.12;1.20;1.50
0.706;0.893;1.08;1.12;1.20;1.50
0.706;0.895;1.08;1.12;1.20;1.50
0.706;0.895;1.08;1.12;1.20;1.50
0.709;0.896;1.08;1.12;1.21;1.50
0.710;0.897;1.09;1.12;1.21;1.50
0.711;0.900;1.09;1.12;1.21;1.50
0.711;0.901;1.09;1.13;1.21;1.51
0.711;0.902;1.09;1.13;1.21;1.51
0.712;0.902;1.09;1.13;1.21;1.51
0.712;0.902;1.09;1.13;1.21;1.51
0.714;0.902;1.09;1.13;1.21;1.51
0.714;0.903;1.09;1.13;1.21;1.51
0.716;0.903;1.09;1.13;1.21;1.51
0.716;0.903;1.09;1.13;1.21;1.51
0.716;0.904;1.09;1.13;1.22;1.51
0.717;0.904;1.09;1.13;1.22;1.51
0.718;0.904;1.10;1.13;1.22;1.51
0.718;0.905;1.10;1.13;1.22;1.52
0.718;0.906;1.10;1.13;1.22;1.52
0.719;0.906;1.10;1.13;1.22;1.52
0.719;0.906;1.10;1.13;1.22;1.52
0.720;0.907;1.10;1.13;1.22;1.52
0.721;0.907;1.10;1.13;1.22;1.52
0.721;0.908;1.10;1.13;1.22;1.52
0.722;0.908;1.10;1.13;1.22;1.52
0.722;0.909;1.10;1.13;1.22;1.53
0.723;0.910;1.10;1.13;1.22;1.53
0.723;0.910;1.10;1.13;1.22;1.53
0.724;0.910;1.10;1.13;1.22;1.53
0.724;0.911;1.11;1.13;1.22;1.53
0.724;0.912;1.11;1.13;1.22;1.53
0.725;0.912;1.11;1.14;1.22;1.53
0.726;0.914;1.11;1.14;1.22;1.53
0.726;0.914;1.11;1.14;1.22;1.53
0.726;0.916;1.11;1.14;1.22;1.53
0.727;0.916;1.11;1.14;1.22;1.53
0.727;0.917;1.11;1.14;1.22;1.53
0.728;0.917;1.11;1.14;1.22;1.53
0.729;0.918;1.11;1.14;1.22;1.53
0.729;0.918;1.11;1.14;1.22;1.53
0.729;0.918;1.11;1.14;1.23;1.53
0.730;0.918;1.11;1.14;1.23;1.53
0.731;0.919;1.11;1.14;1.23;1.53
0.731;0.921;1.11;1.14;1.23;1.54
0.732;0.922;1.11;1.14;1.23;1.54
0.732;0.922;1.11;1.14;1.23;1.54
0.734;0.924;1.11;1.14;1.23;1.54
0.735;0.926;1.11;1.14;1.23;1.54
0.736;0.927;1.12;1.15;1.23;1.54
0.736;0.929;1.12;1.15;1.23;1.54
0.736;0.929;1.12;1.15;1.23;1.54
0.737;0.930;1.12;1.15;1.23;1.55
0.737;0.931;1.12;1.15;1.23;1.55
0.737;0.931;1.12;1.15;1.23;1.55
0.738;0.931;1.12;1.15;1.24;1.55
0.738;0.932;1.12;1.15;1.24;1.55
0.738;0.932;1.12;1.15;1.24;1.55
0.738;0.932;1.12;1.15;1.24;1.55
0.738;0.933;1.12;1.15;1.24;1.55
0.739;0.933;1.12;1.15;1.24;1.55
0.739;0.933;1.12;1.15;1.24;1.55
0.739;0.933;1.12;1.15;1.24;1.55
0.740;0.933;1.12;1.15;1.24;1.55
0.740;0.934;1.13;1.15;1.24;1.55
0.741;0.935;1.13;1.15;1.24;1.55
0.741;0.936;1.13;1.15;1.24;1.56
0.741;0.936;1.13;1.15;1.24;1.56
0.741;0.936;1.13;1.16;1.24;1.56
0.741;0.937;1.13;1.16;1.24;1.56
0.742;0.937;1.13;1.16;1.24;1.56
0.742;0.937;1.13;1.16;1.25;1.56
0.743;0.937;1.13;1.16;1.25;1.56
0.743;0.938;1.13;1.16;1.25;1.56
0.746;0.939;1.13;1.16;1.25;1.56
0.746;0.940;1.13;1.16;1.25;1.56
0.747;0.941;1.13;1.16;1.25;1.56
0.748;0.943;1.13;1.16;1.25;1.56
0.749;0.943;1.13;1.16;1.25;1.56
0.749;0.943;1.13;1.16;1.25;1.56
0.749;0.945;1.14;1.16;1.25;1.56
0.749;0.945;1.14;1.16;1.25;1.56
0.750;0.947;1.14;1.16;1.25;1.57
0.751;0.947;1.14;1.16;1.25;1.57
0.752;0.947;1.14;1.16;1.25;1.57
0.752;0.947;1.14;1.16;1.25;1.57
0.752;0.947;1.14;1.16;1.25;1.57
0.752;0.948;1.14;1.16;1.25;1.57
0.753;0.948;1.14;1.16;1.25;1.57
0.753;0.950;1.14;1.16;1.25;1.57
0.754;0.950;1.14;1.17;1.26;1.57
0.754;0.951;1.14;1.17;1.26;1.57
0.755;0.952;1.14;1.17;1.26;1.57
0.755;0.952;1.14;1.17;1.26;1.57
0.755;0.953;1.14;1.17;1.26;1.57
0.756;0.953;1.14;1.17;1.26;1.57
0.757;0.954;1.14;1.17;1.26;1.57
0.757;0.954;1.15;1.17;1.26;1.58
0.758;0.954;1.15;1.17;1.26;1.58
0.758;0.954;1.15;1.17;1.26;1.58
0.758;0.955;1.15;1.17;1.26;1.58
0.758;0.955;1.15;1.17;1.26;1.58
0.758;0.955;1.15;1.17;1.26;1.58
0.759;0.955;1.15;1.17;1.26;1.58
0.761;0.955;1.15;1.17;1.27;1.58
0.761;0.956;1.15;1.17;1.27;1.58
0.761;0.957;1.15;1.17;1.27;1.58
0.761;0.958;1.15;1.17;1.27;1.58
0.761;0.958;1.15;1.17;1.27;1.58
0.762;0.959;1.15;1.17;1.27;1.58
0.762;0.959;1.15;1.17;1.27;1.58
0.763;0.961;1.15;1.17;1.27;1.58
0.763;0.961;1.15;1.17;1.27;1.58
0.763;0.963;1.15;1.17;1.27;1.58
0.763;0.963;1.15;1.18;1.27;1.58
0.763;0.963;1.15;1.18;1.27;1.59
0.764;0.963;1.15;1.18;1.27;1.59
0.764;0.964;1.15;1.18;1.27;1.59
0.765;0.964;1.15;1.18;1.27;1.59
0.766;0.965;1.15;1.18;1.27;1.59
0.767;0.965;1.15;1.18;1.27;1.59
0.768;0.965;1.16;1.18;1.27;1.59
0.769;0.965;1.16;1.18;1.27;1.59
0.769;0.966;1.16;1.18;1.27;1.59
0.769;0.966;1.16;1.18;1.28;1.59
0.769;0.966;1.16;1.18;1.28;1.59
0.769;0.967;1.16;1.18;1.28;1.59
0.770;0.967;1.16;1.18;1.28;1.59
0.770;0.967;1.16;1.18;1.28;1.59
0.771;0.967;1.16;1.18;1.28;1.59
0.771;0.968;1.16;1.18;1.28;1.59
0.772;0.969;1.16;1.19;1.28;1.59
0.773;0.969;1.16;1.19;1.28;1.59
0.774;0.969;1.16;1.19;1.28;1.59
0.774;0.970;1.16;1.19;1.28;1.60
0.775;0.971;1.16;1.19;1.28;1.60
0.775;0.971;1.16;1.19;1.28;1.60
0.775;0.972;1.16;1.19;1.28;1.60
0.776;0.972;1.16;1.19;1.29;1.60
0.776;0.972;1.16;1.19;1.29;1.60
0.776;0.973;1.16;1.19;1.29;1.60
