PING 10.50.1.127 (10.50.1.127) 56(124) bytes of data.
64 bytes from 10.50.1.127: icmp_seq=1 ttl=63 time=1.13 ms
RR: 	192.168.200.11
	192.168.200.136
	192.168.200.172
	192.168.200.168
	192.168.200.172
	192.168.200.137
	10.50.1.147
	10.50.1.127
	10.50.1.127

64 bytes from 10.50.1.127: icmp_seq=2 ttl=63 time=2.09 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=3 ttl=63 time=1.73 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=4 ttl=63 time=1.58 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=5 ttl=63 time=1.44 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=6 ttl=63 time=1.72 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=7 ttl=63 time=1.89 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=8 ttl=63 time=1.98 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=9 ttl=63 time=1.65 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=10 ttl=63 time=1.61 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=11 ttl=63 time=1.79 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=12 ttl=63 time=1.65 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=13 ttl=63 time=1.55 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=14 ttl=63 time=1.34 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=15 ttl=63 time=1.52 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=16 ttl=63 time=1.38 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=17 ttl=63 time=1.39 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=18 ttl=63 time=1.30 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=19 ttl=63 time=1.23 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=20 ttl=63 time=1.36 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=21 ttl=63 time=1.49 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=22 ttl=63 time=1.72 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=23 ttl=63 time=1.54 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=24 ttl=63 time=1.34 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=25 ttl=63 time=1.80 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=26 ttl=63 time=1.64 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=27 ttl=63 time=1.98 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=28 ttl=63 time=1.39 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=29 ttl=63 time=1.52 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=30 ttl=63 time=1.60 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=31 ttl=63 time=1.41 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=32 ttl=63 time=1.56 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=33 ttl=63 time=1.73 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=34 ttl=63 time=1.53 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=35 ttl=63 time=1.73 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=36 ttl=63 time=1.53 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=37 ttl=63 time=1.64 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=38 ttl=63 time=1.93 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=39 ttl=63 time=1.35 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=40 ttl=63 time=1.87 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=41 ttl=63 time=1.86 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=42 ttl=63 time=1.90 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=43 ttl=63 time=1.78 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=44 ttl=63 time=1.54 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=45 ttl=63 time=1.88 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=46 ttl=63 time=1.69 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=47 ttl=63 time=1.48 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=48 ttl=63 time=1.55 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=49 ttl=63 time=1.65 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=50 ttl=63 time=1.93 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=51 ttl=63 time=1.69 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=52 ttl=63 time=1.50 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=53 ttl=63 time=1.85 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=54 ttl=63 time=1.62 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=55 ttl=63 time=1.88 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=56 ttl=63 time=1.63 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=57 ttl=63 time=1.91 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=58 ttl=63 time=1.61 ms	(same route)
64 bytes from 10.50.1.127: icmp_seq=59 ttl=63 time=1.64 ms	(same route)
